,fraction,hidden_size2,hidden_size4,hidden_size8
0,0.0,0.4975,0.5035,0.468
1,0.0,0.4795,0.472,0.498
2,0.0,0.522,0.484,0.5075
3,0.0,0.496,0.5025,0.4985
4,0.0,0.51,0.5085,0.504
5,0.2,0.498,0.5075,0.5425
6,0.2,0.5175,0.5985,0.5135
7,0.2,0.4945,0.492,0.605
8,0.2,0.512,0.5095,0.539
9,0.2,0.508,0.4905,0.524
10,0.4,0.681,0.706,0.7585
11,0.4,0.5815,0.74,0.612
12,0.4,0.5945,0.657,0.7625
13,0.4,0.4985,0.5435,0.568
14,0.4,0.5965,0.627,0.6965
15,0.6,0.6225,0.6225,0.658
16,0.6,0.6875,0.825,0.81
17,0.6,0.5905,0.6115,0.74
18,0.6,0.6805,0.7155,0.7355
19,0.6,0.5805,0.6985,0.781
20,0.8,0.841,0.828,0.839
21,0.8,0.8205,0.8555,0.8755
22,0.8,0.8405,0.8345,0.851
23,0.8,0.8475,0.8675,0.8585
24,0.8,0.8285,0.8915,0.8725
25,1.0,0.8795,0.8925,0.8895
26,1.0,0.874,0.893,0.909
27,1.0,0.9155,0.911,0.9085
28,1.0,0.878,0.901,0.849
29,1.0,0.8785,0.8875,0.912
